"m:0","m:1","m:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.30826,0.00048192,0.95092,1,5.355e-08,5.355e-08,1.19e-07,1.52e-07
-0.31546,0.00049448,0.94873,1,5.3788e-08,5.3788e-08,1.19e-07,1.52e-07
-0.32284,0.00050742,0.9464,1,5.4026e-08,5.4026e-08,1.19e-07,1.52e-07
-0.33167,0.00052336,0.943,1,5.4264e-08,5.4264e-08,1.19e-07,1.52e-07
-0.3405,0.00053931,0.9396,1,5.4502e-08,5.4502e-08,1.19e-07,1.52e-07
-0.34933,0.00055526,0.9362,1,5.474e-08,5.474e-08,1.19e-07,1.52e-07
-0.35815,0.0005712,0.9328,1,5.4978e-08,5.4978e-08,1.19e-07,1.52e-07
-0.36698,0.00058715,0.9294,1,5.5216e-08,5.5216e-08,1.19e-07,1.52e-07
-0.37581,0.0006031,0.926,1,5.5454e-08,5.5454e-08,1.19e-07,1.52e-07
-0.38463,0.00061905,0.9226,1,5.5692e-08,5.5692e-08,1.19e-07,1.52e-07
-0.39346,0.00063499,0.9192,1,5.593e-08,5.593e-08,1.19e-07,1.52e-07
-0.40355,0.00065375,0.91452,1,5.6168e-08,5.6168e-08,1.19e-07,1.52e-07
-0.41415,0.00067369,0.90931,1,5.6406e-08,5.6406e-08,1.19e-07,1.52e-07
-0.42476,0.00069362,0.90409,1,5.6644e-08,5.6644e-08,1.19e-07,1.52e-07
-0.43537,0.00071355,0.89887,1,5.6882e-08,5.6882e-08,1.19e-07,1.52e-07
-0.44598,0.00073348,0.89365,1,5.712e-08,5.712e-08,1.19e-07,1.52e-07
-0.45659,0.00075341,0.88844,1,5.7358e-08,5.7358e-08,1.19e-07,1.52e-07
-0.4672,0.00077334,0.88322,1,5.7596e-08,5.7596e-08,1.19e-07,1.52e-07
-0.47781,0.00079328,0.878,1,5.7834e-08,5.7834e-08,1.19e-07,1.52e-07
-0.48894,0.00081452,0.87198,1,5.8072e-08,5.8072e-08,1.19e-07,1.52e-07
-0.50129,0.00083878,0.86409,1,5.831e-08,5.831e-08,1.19e-07,1.52e-07
-0.51363,0.00086304,0.85621,1,5.8548e-08,5.8548e-08,1.19e-07,1.52e-07
-0.52598,0.0008873,0.84832,1,5.8786e-08,5.8786e-08,1.19e-07,1.52e-07
-0.53833,0.00091156,0.84044,1,5.9024e-08,5.9024e-08,1.19e-07,1.52e-07
-0.55067,0.00093583,0.83255,1,5.9262e-08,5.9262e-08,1.19e-07,1.52e-07
-0.56302,0.00096009,0.82467,1,5.95e-08,5.95e-08,1.19e-07,1.52e-07
-0.57537,0.00098435,0.81678,1,5.9738e-08,5.9738e-08,1.19e-07,1.52e-07
-0.58771,0.0010086,0.8089,1,5.9976e-08,5.9976e-08,1.19e-07,1.52e-07
-0.60121,0.0010365,0.79767,1,6.0214e-08,6.0214e-08,1.19e-07,1.52e-07
-0.61484,0.0010647,0.78607,1,6.0452e-08,6.0452e-08,1.19e-07,1.52e-07
-0.62846,0.001093,0.77447,1,6.069e-08,6.069e-08,1.19e-07,1.52e-07
-0.64209,0.0011212,0.76288,1,6.0928e-08,6.0928e-08,1.19e-07,1.52e-07
-0.65571,0.0011495,0.75128,1,6.1166e-08,6.1166e-08,1.19e-07,1.52e-07
-0.66934,0.0011778,0.73968,1,6.1404e-08,6.1404e-08,1.19e-07,1.52e-07
-0.68297,0.001206,0.72808,1,6.1642e-08,6.1642e-08,1.19e-07,1.52e-07
-0.69659,0.0012343,0.71648,1,6.188e-08,6.188e-08,1.19e-07,1.52e-07
-0.71029,0.0012637,0.70252,1,6.2118e-08,6.2118e-08,1.19e-07,1.52e-07
-0.72407,0.0012944,0.68618,1,6.2356e-08,6.2356e-08,1.19e-07,1.52e-07
-0.73785,0.001325,0.66983,1,6.2594e-08,6.2594e-08,1.19e-07,1.52e-07
-0.75162,0.0013557,0.65349,1,6.2832e-08,6.2832e-08,1.19e-07,1.52e-07
-0.7654,0.0013863,0.63714,1,6.307e-08,6.307e-08,1.19e-07,1.52e-07
-0.77918,0.001417,0.6208,1,6.3308e-08,6.3308e-08,1.19e-07,1.52e-07
-0.79295,0.0014476,0.60445,1,6.3546e-08,6.3546e-08,1.19e-07,1.52e-07
-0.80673,0.0014783,0.58811,1,6.3784e-08,6.3784e-08,1.19e-07,1.52e-07
-0.82034,0.0015089,0.57128,1,6.4022e-08,6.4022e-08,1.19e-07,1.52e-07
-0.83232,0.0015385,0.54967,1,6.426e-08,6.426e-08,1.19e-07,1.52e-07
-0.84431,0.0015681,0.52806,1,6.4498e-08,6.4498e-08,1.19e-07,1.52e-07
-0.85629,0.0015977,0.50646,1,6.4736e-08,6.4736e-08,1.19e-07,1.52e-07
-0.86827,0.0016274,0.48485,1,6.4974e-08,6.4974e-08,1.19e-07,1.52e-07
-0.88026,0.001657,0.46324,1,6.5212e-08,6.5212e-08,1.19e-07,1.52e-07
-0.89224,0.0016866,0.44164,1,6.545e-08,6.545e-08,1.19e-07,1.52e-07
-0.90422,0.0017163,0.42003,1,6.5688e-08,6.5688e-08,1.19e-07,1.52e-07
-0.91621,0.0017459,0.39842,1,6.5926e-08,6.5926e-08,1.19e-07,1.52e-07
