"m:0","m:1","m:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.19827,-0.00036792,0.97999,1,5.95e-08,5.95e-08,1.19e-07,1.52e-07
-0.20293,-0.00037759,0.9791,1,5.9738e-08,5.9738e-08,1.19e-07,1.52e-07
-0.20759,-0.00038727,0.9782,1,5.9976e-08,5.9976e-08,1.19e-07,1.52e-07
-0.21331,-0.00039953,0.97685,1,6.0214e-08,6.0214e-08,1.19e-07,1.52e-07
-0.21914,-0.00041208,0.97546,1,6.0452e-08,6.0452e-08,1.19e-07,1.52e-07
-0.22498,-0.00042462,0.97406,1,6.069e-08,6.069e-08,1.19e-07,1.52e-07
-0.23082,-0.00043717,0.97266,1,6.0928e-08,6.0928e-08,1.19e-07,1.52e-07
-0.23665,-0.00044972,0.97127,1,6.1166e-08,6.1166e-08,1.19e-07,1.52e-07
-0.24249,-0.00046227,0.96987,1,6.1404e-08,6.1404e-08,1.19e-07,1.52e-07
-0.24833,-0.00047482,0.96847,1,6.1642e-08,6.1642e-08,1.19e-07,1.52e-07
-0.25417,-0.00048736,0.96708,1,6.188e-08,6.188e-08,1.19e-07,1.52e-07
-0.26071,-0.00050173,0.96529,1,6.2118e-08,6.2118e-08,1.19e-07,1.52e-07
-0.26798,-0.00051796,0.9631,1,6.2356e-08,6.2356e-08,1.19e-07,1.52e-07
-0.27525,-0.00053418,0.96092,1,6.2594e-08,6.2594e-08,1.19e-07,1.52e-07
-0.28252,-0.00055041,0.95873,1,6.2832e-08,6.2832e-08,1.19e-07,1.52e-07
-0.28979,-0.00056663,0.95655,1,6.307e-08,6.307e-08,1.19e-07,1.52e-07
-0.29706,-0.00058285,0.95436,1,6.3308e-08,6.3308e-08,1.19e-07,1.52e-07
-0.30433,-0.00059908,0.95218,1,6.3546e-08,6.3546e-08,1.19e-07,1.52e-07
-0.31159,-0.0006153,0.94999,1,6.3784e-08,6.3784e-08,1.19e-07,1.52e-07
-0.31902,-0.00063195,0.94769,1,6.4022e-08,6.4022e-08,1.19e-07,1.52e-07
-0.32797,-0.00065277,0.94428,1,6.426e-08,6.426e-08,1.19e-07,1.52e-07
